Product_ID,Sale_Date,Sales_Rep,Quantity_Sold,Product_Category,Unit_Cost,Unit_Sale_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Total_Sale_Amount_No_Discount,Total_Sale_Amount_with_Discount,Total_Unit_Cost_of_Sale,Total_Profit_Per_Sale,Provence,Provence_and_Sales_Rep
1052,2023-02-03,Bob,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,4809.960000000001,4377.06,2749.5,1627.56,Ulster,Ulster-Bob
1093,2023-04-21,Bob,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,71560.48,63688.83,64878.63,-1189.8,Connacht,Connacht-Bob
1015,2023-09-21,David,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,11142.0,8913.6,7846.8,1066.8,Munster,Munster-David
1072,2023-08-24,Bob,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,174242.25,170757.4,168871.16999999998,1886.23,Munster,Munster-Bob
1061,2023-03-24,Charlie,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,9005.23,8284.81,8285.81,-1.0,Leinster,Leinster-Charlie
1021,2023-02-11,Charlie,32,Food,900.79,1106.51,New,0.21,Cash,Online,35408.32,27972.57,28825.28,-852.71,Connacht,Connacht-Charlie
1083,2023-04-11,Bob,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,76098.61,65444.8,69855.49,-4410.69,Connacht,Connacht-Bob
1087,2023-01-06,Eve,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,182373.9,160489.03,170315.46000000002,-9826.43,Munster,Munster-Eve
1075,2023-06-29,David,30,Furniture,738.06,1095.45,New,0.05,Bank Transfer,Online,32863.5,31220.32,22141.8,9078.52,Munster,Munster-David
1075,2023-10-09,Charlie,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,48282.12,42005.44,40110.299999999996,1895.14,Connacht,Connacht-Charlie
1088,2023-11-16,Eve,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,32728.8,25201.18,31721.43,-6520.25,Ulster,Ulster-Eve
1100,2023-08-14,Bob,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,48909.920000000006,44997.13,47334.829999999994,-2337.7,Connacht,Connacht-Bob
